epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1009,2.31987,3.50965,1.97553,0.00867,0.22807,0.01775,0.00675,2.50313,3.45123,1.82556,4e-05,4e-05,4e-05
2,46.0506,2.21981,3.37862,1.88589,0.014,0.36842,0.03855,0.01542,2.38102,3.42859,1.69429,9.67e-05,9.67e-05,9.67e-05
3,63.8305,2.28377,3.30018,1.7982,0.01733,0.45614,0.0408,0.01636,2.3758,3.38362,1.63814,0.00014944,0.00014944,0.00014944
4,80.7699,2.24256,3.02311,1.89523,0.02,0.52632,0.06054,0.02152,2.34846,3.32515,1.56642,0.00019822,0.00019822,0.00019822
5,98.2941,2.17866,2.66153,1.81859,0.02067,0.54386,0.0627,0.02191,2.23318,3.28167,1.50316,0.00024304,0.00024304,0.00024304
6,115.885,2.13698,2.24821,1.67976,0.02267,0.59649,0.07093,0.02433,2.18034,3.23329,1.50478,0.0002839,0.0002839,0.0002839
7,141.177,2.21821,2.20347,1.75919,0.02333,0.61404,0.10096,0.03962,2.10769,3.15921,1.48774,0.0003208,0.0003208,0.0003208
8,159.159,2.04437,2.12826,1.61157,0.02267,0.59649,0.13485,0.04961,2.03686,3.12282,1.48007,0.00035374,0.00035374,0.00035374
9,177.149,2.05181,2.14161,1.59467,0.01933,0.50877,0.05705,0.0156,2.10404,3.20439,1.60926,0.00038272,0.00038272,0.00038272
10,194.835,1.96819,2.01901,1.54207,0.01867,0.49123,0.04683,0.01214,2.13191,3.24688,1.68622,0.00040774,0.00040774,0.00040774
11,212.298,2.20176,2.16898,1.60259,0.012,0.31579,0.04458,0.01964,2.24756,3.3386,1.81645,0.0004288,0.0004288,0.0004288
12,229.822,1.93771,1.92877,1.53372,0.012,0.31579,0.05177,0.02719,2.29345,3.35653,1.86433,0.0004459,0.0004459,0.0004459
13,247.158,1.9804,1.97396,1.56157,0.01133,0.29825,0.09675,0.03014,2.36585,3.36905,1.92261,0.00045904,0.00045904,0.00045904
14,264.04,1.95738,2.04116,1.59985,0.01333,0.35088,0.11418,0.03944,2.36403,3.31175,1.87827,0.00046822,0.00046822,0.00046822
15,281.639,1.91399,1.86781,1.51298,0.01867,0.49123,0.1494,0.05928,2.16247,3.13193,1.68044,0.00047344,0.00047344,0.00047344
16,299.062,1.89968,1.80258,1.52503,0.02,0.52632,0.18289,0.07413,2.09495,3.05391,1.62328,0.0004747,0.0004747,0.0004747
17,327.127,1.8559,1.73497,1.48256,0.62942,0.15789,0.21348,0.09208,2.21312,2.99067,1.668,0.000472,0.000472,0.000472
18,354.839,1.87502,1.76299,1.52439,0.60061,0.12281,0.21532,0.10111,2.26649,2.98473,1.66742,0.00046534,0.00046534,0.00046534
19,379.422,1.96672,1.94621,1.58342,0.59741,0.12281,0.21107,0.09189,2.24344,2.93546,1.62368,0.00045472,0.00045472,0.00045472
20,416.474,1.92143,1.7657,1.51112,0.54516,0.12637,0.19862,0.07966,2.21134,2.88336,1.59014,0.00044014,0.00044014,0.00044014
21,447.624,1.91811,2.14676,1.63728,0.55725,0.10526,0.19789,0.08443,2.19955,2.88841,1.58589,0.0004216,0.0004216,0.0004216
22,473.493,1.89622,2.00565,1.57146,0.52954,0.14035,0.22742,0.08726,2.16885,2.89188,1.57117,0.0003991,0.0003991,0.0003991
23,495.874,1.84452,1.95829,1.54847,0.66839,0.07018,0.27052,0.09693,2.14847,2.87225,1.52642,0.00037264,0.00037264,0.00037264
24,518.786,1.94217,2.18914,1.6048,0.67865,0.07459,0.27682,0.10673,2.1454,2.82114,1.48298,0.00034222,0.00034222,0.00034222
25,548.16,1.85569,1.87959,1.51209,0.76258,0.14035,0.25806,0.11178,2.19299,2.78336,1.48992,0.00030784,0.00030784,0.00030784
26,575.744,1.90654,1.93622,1.43918,0.68814,0.14035,0.27239,0.11577,2.19877,2.73159,1.47469,0.0002695,0.0002695,0.0002695
27,602.98,1.80124,1.88782,1.59551,0.66807,0.15789,0.27448,0.11631,2.2115,2.68353,1.47954,0.0002272,0.0002272,0.0002272
28,626.662,1.84659,1.83966,1.47411,0.58541,0.17544,0.27418,0.10552,2.20743,2.65258,1.48772,0.00018094,0.00018094,0.00018094
29,652.075,1.89529,1.80497,1.59269,0.58541,0.17544,0.27418,0.10552,2.20743,2.65258,1.48772,0.00013072,0.00013072,0.00013072
30,685.764,1.8031,1.87087,1.51894,0.45518,0.19298,0.27816,0.09534,2.19946,2.60857,1.48893,7.654e-05,7.654e-05,7.654e-05
